U
1.00000
0.87847
0.76069
0.65635
0.57091
0.50552
0.45835
0.42595
0.40448
0.39042
0.38092
0.37394
0.36810
0.36256
0.35686
0.35075
0.34414
0.33703
0.32944
0.32142
0.31302
0.30429
0.29530
0.28609
0.27672
0.26723
0.25766
0.24805
0.23844
0.22883
0.21927
0.20975
0.20030
0.19093
0.18165
0.17246
0.16337
0.15439
0.14550
0.13672
0.12803
0.11945
0.11097
0.10258
0.09428
0.08607
0.07795
0.06991
0.06194
0.05406
0.04624
0.03849
0.03081
0.02319
0.01563
0.00813
0.00068
-0.00671
-0.01406
-0.02135
-0.02861
-0.03581
-0.04298
-0.05010
-0.05719
-0.06424
-0.07125
-0.07823
-0.08518
-0.09209
-0.09898
-0.10585
-0.11269
-0.11952
-0.12633
-0.13313
-0.13994
-0.14675
-0.15358
-0.16044
-0.16735
-0.17432
-0.18136
-0.18851
-0.19578
-0.20320
-0.21079
-0.21859
-0.22661
-0.23487
-0.24341
-0.25221
-0.26129
-0.27061
-0.28014
-0.28981
-0.29953
-0.30920
-0.31868
-0.32780
-0.33639
-0.34427
-0.35123
-0.35707
-0.36159
-0.36462
-0.36599
-0.36557
-0.36324
-0.35894
-0.35264
-0.34436
-0.33416
-0.32215
-0.30848
-0.29334
-0.27693
-0.25945
-0.24108
-0.22198
-0.20224
-0.18186
-0.16071
-0.13856
-0.11510
-0.08997
-0.06272
-0.03292
0.00000
