U
0.00000
0.03152
0.06022
0.08622
0.10968
0.13074
0.14959
0.16641
0.18140
0.19475
0.20666
0.21730
0.22686
0.23548
0.24329
0.25040
0.25691
0.26289
0.26838
0.27342
0.27802
0.28220
0.28594
0.28925
0.29211
0.29449
0.29638
0.29777
0.29863
0.29894
0.29871
0.29790
0.29653
0.29458
0.29206
0.28897
0.28532
0.28112
0.27639
0.27114
0.26540
0.25920
0.25255
0.24549
0.23805
0.23026
0.22214
0.21374
0.20508
0.19619
0.18710
0.17784
0.16844
0.15892
0.14931
0.13962
0.12988
0.12011
0.11030
0.10049
0.09068
0.08088
0.07110
0.06134
0.05161
0.04190
0.03223
0.02258
0.01297
0.00338
-0.00619
-0.01573
-0.02526
-0.03478
-0.04429
-0.05381
-0.06335
-0.07290
-0.08249
-0.09212
-0.10182
-0.11159
-0.12146
-0.13144
-0.14156
-0.15184
-0.16231
-0.17299
-0.18392
-0.19512
-0.20663
-0.21847
-0.23067
-0.24325
-0.25623
-0.26960
-0.28337
-0.29749
-0.31193
-0.32660
-0.34139
-0.35617
-0.37074
-0.38488
-0.39832
-0.41074
-0.42178
-0.43105
-0.43814
-0.44263
-0.44410
-0.44218
-0.43656
-0.42701
-0.41338
-0.39569
-0.37408
-0.34882
-0.32033
-0.28915
-0.25592
-0.22135
-0.18618
-0.15114
-0.11695
-0.08423
-0.05355
-0.02536
0.00000
