U
0.00000
0.01401
0.02730
0.03986
0.05172
0.06288
0.07337
0.08320
0.09240
0.10097
0.10896
0.11637
0.12322
0.12955
0.13537
0.14070
0.14557
0.15000
0.15400
0.15760
0.16082
0.16366
0.16616
0.16833
0.17018
0.17172
0.17297
0.17395
0.17465
0.17510
0.17530
0.17526
0.17499
0.17449
0.17376
0.17282
0.17167
0.17031
0.16874
0.16696
0.16498
0.16280
0.16041
0.15782
0.15502
0.15202
0.14882
0.14541
0.14179
0.13796
0.13392
0.12967
0.12520
0.12052
0.11562
0.11050
0.10516
0.09960
0.09382
0.08782
0.08159
0.07515
0.06848
0.06159
0.05448
0.04716
0.03962
0.03187
0.02392
0.01577
0.00742
-0.00111
-0.00982
-0.01870
-0.02774
-0.03692
-0.04623
-0.05566
-0.06519
-0.07480
-0.08447
-0.09418
-0.10390
-0.11361
-0.12327
-0.13286
-0.14234
-0.15169
-0.16084
-0.16978
-0.17846
-0.18682
-0.19484
-0.20245
-0.20961
-0.21627
-0.22237
-0.22788
-0.23272
-0.23687
-0.24026
-0.24285
-0.24460
-0.24546
-0.24541
-0.24441
-0.24244
-0.23948
-0.23552
-0.23056
-0.22459
-0.21765
-0.20974
-0.20091
-0.19118
-0.18062
-0.16927
-0.15720
-0.14448
-0.13119
-0.11740
-0.10321
-0.08870
-0.07397
-0.05909
-0.04417
-0.02929
-0.01454
0.00000
