U
1.00000
0.92069
0.84058
0.76283
0.69004
0.62402
0.56581
0.51571
0.47347
0.43844
0.40971
0.38630
0.36720
0.35151
0.33839
0.32716
0.31726
0.30826
0.29982
0.29170
0.28371
0.27574
0.26770
0.25956
0.25128
0.24284
0.23425
0.22551
0.21663
0.20763
0.19850
0.18928
0.17998
0.17060
0.16117
0.15169
0.14218
0.13266
0.12312
0.11359
0.10407
0.09456
0.08509
0.07564
0.06623
0.05686
0.04753
0.03825
0.02901
0.01982
0.01067
0.00156
-0.00751
-0.01655
-0.02556
-0.03455
-0.04352
-0.05249
-0.06145
-0.07043
-0.07942
-0.08844
-0.09749
-0.10659
-0.11574
-0.12495
-0.13422
-0.14357
-0.15298
-0.16247
-0.17202
-0.18162
-0.19127
-0.20095
-0.21063
-0.22029
-0.22988
-0.23938
-0.24872
-0.25787
-0.26676
-0.27532
-0.28349
-0.29120
-0.29838
-0.30495
-0.31083
-0.31597
-0.32029
-0.32374
-0.32626
-0.32782
-0.32838
-0.32792
-0.32645
-0.32395
-0.32047
-0.31601
-0.31063
-0.30438
-0.29733
-0.28954
-0.28108
-0.27205
-0.26252
-0.25256
-0.24227
-0.23173
-0.22099
-0.21013
-0.19920
-0.18825
-0.17733
-0.16645
-0.15563
-0.14489
-0.13422
-0.12360
-0.11302
-0.10244
-0.09183
-0.08115
-0.07035
-0.05938
-0.04819
-0.03671
-0.02490
-0.01269
0.00000
