U
1.00000
0.94883
0.89711
0.84536
0.79410
0.74378
0.69477
0.64740
0.60190
0.55845
0.51718
0.47814
0.44135
0.40678
0.37436
0.34400
0.31561
0.28905
0.26420
0.24092
0.21907
0.19854
0.17919
0.16090
0.14356
0.12706
0.11133
0.09626
0.08180
0.06787
0.05442
0.04139
0.02876
0.01648
0.00453
-0.00712
-0.01847
-0.02955
-0.04036
-0.05091
-0.06119
-0.07121
-0.08096
-0.09044
-0.09963
-0.10854
-0.11715
-0.12546
-0.13344
-0.14111
-0.14843
-0.15541
-0.16204
-0.16830
-0.17419
-0.17970
-0.18483
-0.18957
-0.19392
-0.19788
-0.20145
-0.20462
-0.20740
-0.20979
-0.21180
-0.21344
-0.21470
-0.21560
-0.21615
-0.21636
-0.21624
-0.21580
-0.21506
-0.21403
-0.21271
-0.21114
-0.20931
-0.20726
-0.20498
-0.20250
-0.19984
-0.19700
-0.19400
-0.19085
-0.18758
-0.18418
-0.18068
-0.17709
-0.17341
-0.16967
-0.16586
-0.16200
-0.15809
-0.15415
-0.15018
-0.14618
-0.14217
-0.13814
-0.13410
-0.13006
-0.12601
-0.12196
-0.11791
-0.11386
-0.10981
-0.10575
-0.10169
-0.09762
-0.09354
-0.08945
-0.08534
-0.08120
-0.07704
-0.07285
-0.06861
-0.06433
-0.05999
-0.05559
-0.05111
-0.04656
-0.04191
-0.03716
-0.03230
-0.02731
-0.02218
-0.01690
-0.01146
-0.00583
0.00000
