Iteration, Residual
355, 0.1224975
356, 0.1228821
357, 0.1232684
358, 0.1236565
359, 0.1240461
360, 0.1244371
361, 0.1248293
362, 0.1252227
363, 0.1256170
364, 0.1260122
365, 0.1264081
366, 0.1268045
367, 0.1272013
368, 0.1275985
369, 0.1279957
370, 0.1283930
371, 0.1287902
372, 0.1291871
373, 0.1295836
374, 0.1299796
375, 0.1303750
376, 0.1307696
377, 0.1311633
378, 0.1315560
379, 0.1319475
380, 0.1323378
381, 0.1327267
382, 0.1331140
383, 0.1334998
384, 0.1338838
385, 0.1342659
386, 0.1346461
387, 0.1350242
388, 0.1354001
389, 0.1357736
390, 0.1361448
391, 0.1365135
392, 0.1368795
393, 0.1372428
394, 0.1376033
395, 0.1379608
396, 0.1383154
397, 0.1386668
398, 0.1390150
399, 0.1393599
400, 0.1397014
401, 0.1400394
402, 0.1403739
403, 0.1407047
404, 0.1410317
405, 0.1413550
406, 0.1416743
407, 0.1419897
408, 0.1423010
409, 0.1426082
410, 0.1429112
411, 0.1432100
412, 0.1435044
413, 0.1437945
414, 0.1440800
415, 0.1443611
416, 0.1446376
417, 0.1449094
418, 0.1451766
419, 0.1454390
420, 0.1456967
421, 0.1459494
422, 0.1461974
423, 0.1464403
424, 0.1466783
425, 0.1469113
426, 0.1471392
427, 0.1473620
428, 0.1475798
429, 0.1477923
430, 0.1479996
431, 0.1482018
432, 0.1483987
433, 0.1485903
434, 0.1487766
435, 0.1489576
436, 0.1491333
437, 0.1493036
438, 0.1494685
439, 0.1496281
440, 0.1497823
441, 0.1499310
442, 0.1500744
443, 0.1502123
444, 0.1503449
445, 0.1504720
446, 0.1505936
447, 0.1507099
448, 0.1508207
449, 0.1509261
450, 0.1510261
451, 0.1511207
452, 0.1512099
453, 0.1512937
454, 0.1513721
455, 0.1514452
456, 0.1515130
457, 0.1515754
458, 0.1516325
459, 0.1516843
460, 0.1517308
461, 0.1517721
462, 0.1518082
463, 0.1518391
464, 0.1518648
465, 0.1518854
466, 0.1519009
467, 0.1519112
468, 0.1519166
469, 0.1519169
470, 0.1519122
471, 0.1519026
472, 0.1518880
473, 0.1518686
474, 0.1518443
475, 0.1518153
476, 0.1517815
477, 0.1517429
478, 0.1516997
479, 0.1516518
480, 0.1515994
481, 0.1515424
482, 0.1514808
483, 0.1514149
484, 0.1513445
485, 0.1512697
486, 0.1511906
487, 0.1511073
488, 0.1510197
489, 0.1509279
490, 0.1508321
491, 0.1507321
492, 0.1506281
493, 0.1505202
494, 0.1504083
495, 0.1502926
496, 0.1501730
497, 0.1500497
498, 0.1499227
499, 0.1497920
0, -0.1666667
