Iteration, Residual
125, 0.0679863
126, 0.0669207
127, 0.0657407
128, 0.0645653
129, 0.0633806
130, 0.0624519
131, 0.0610585
132, 0.0603501
133, 0.0589590
134, 0.0581762
135, 0.0570305
136, 0.0560652
137, 0.0551098
138, 0.0541361
139, 0.0531455
140, 0.0523544
141, 0.0512251
142, 0.0506069
143, 0.0494409
144, 0.0488357
145, 0.0477938
146, 0.0470786
147, 0.0462148
148, 0.0454073
149, 0.0446408
150, 0.0438543
151, 0.0430644
152, 0.0423959
153, 0.0415241
154, 0.0409827
155, 0.0400623
156, 0.0395797
157, 0.0386933
158, 0.0381859
159, 0.0373999
160, 0.0368252
161, 0.0361511
162, 0.0355249
163, 0.0349222
164, 0.0342975
165, 0.0337069
166, 0.0331374
167, 0.0325153
168, 0.0320274
169, 0.0313643
170, 0.0309485
171, 0.0302660
172, 0.0298858
173, 0.0292116
174, 0.0287991
175, 0.0280868
176, 0.0274194
177, 0.0262706
178, 0.0246004
179, 0.0219859
180, 0.0184369
181, 0.0143502
182, 0.0104393
183, 0.0073874
184, 0.0054884
185, 0.0047609
186, 0.0050640
187, 0.0059551
188, 0.0062337
189, 0.0051292
190, 0.0038828
191, 0.0033999
192, 0.0036841
193, 0.0038505
194, 0.0032212
195, 0.0025354
196, 0.0024614
197, 0.0026558
198, 0.0024072
199, 0.0019486
200, 0.0019093
201, 0.0020951
202, 0.0019229
203, 0.0016643
204, 0.0017436
205, 0.0018086
206, 0.0015376
207, 0.0014312
208, 0.0015476
209, 0.0014385
210, 0.0012611
211, 0.0013248
212, 0.0013133
213, 0.0011393
214, 0.0011514
215, 0.0011761
216, 0.0010284
217, 0.0010070
218, 0.0010384
219, 0.0009078
220, 0.0008786
221, 0.0008937
222, 0.0007842
223, 0.0007512
224, 0.0007587
225, 0.0006589
226, 0.0006402
227, 0.0006290
228, 0.0005478
229, 0.0005362
230, 0.0005136
231, 0.0004471
232, 0.0004449
233, 0.0004089
234, 0.0003634
235, 0.0003619
236, 0.0003206
237, 0.0002947
238, 0.0002882
239, 0.0002500
240, 0.0002389
241, 0.0002246
242, 0.0001964
243, 0.0001931
244, 0.0001727
245, 0.0001578
246, 0.0001536
247, 0.0001344
248, 0.0001295
249, 0.0001208
250, 0.0001083
251, 0.0001070
252, 0.0000955
253, 0.0000906
254, 0.0000865
255, 0.0000766
256, 0.0000759
257, 0.0000682
258, 0.0000638
259, 0.0000618
260, 0.0000551
261, 0.0000544
262, 0.0000496
263, 0.0000467
264, 0.0000452
265, 0.0000406
266, 0.0000402
267, 0.0000365
268, 0.0000348
269, 0.0000333
270, 0.0000302
271, 0.0000297
272, 0.0000270
273, 0.0000258
274, 0.0000245
275, 0.0000223
276, 0.0000219
277, 0.0000197
278, 0.0000191
279, 0.0000177
280, 0.0000165
281, 0.0000159
282, 0.0000143
283, 0.0000139
284, 0.0000126
285, 0.0000119
286, 0.0000112
287, 0.0000102
288, 0.0000098
289, 0.0000088
290, 0.0000085
291, 0.0000077
292, 0.0000072
293, 0.0000068
294, 0.0000061
295, 0.0000059
296, 0.0000052
297, 0.0000050
298, 0.0000046
299, 0.0000042
300, 0.0000040
301, 0.0000036
302, 0.0000034
303, 0.0000030
304, 0.0000029
305, 0.0000026
306, 0.0000024
307, 0.0000023
308, 0.0000021
309, 0.0000020
310, 0.0000018
311, 0.0000017
312, 0.0000015
313, 0.0000014
314, 0.0000013
315, 0.0000012
316, 0.0000012
317, 0.0000011
318, 0.0000010
319, 0.0000009
